2022/12/15 04:45:49 [crit] 23#23: *1046 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/15 04:49:12 [crit] 23#23: *1069 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/15 04:50:05 [crit] 23#23: *1073 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/15 05:57:36 [crit] 23#23: *1088 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 35.170.66.248, server: 0.0.0.0:443
2022/12/15 05:57:36 [crit] 23#23: *1089 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 35.170.66.248, server: 0.0.0.0:443
2022/12/15 09:17:22 [crit] 23#23: *1153 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 184.105.247.254, server: 0.0.0.0:443
2022/12/15 09:24:30 [crit] 23#23: *1166 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 184.105.247.254, server: 0.0.0.0:443
2022/12/15 14:29:07 [crit] 23#23: *1246 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.241.208.41, server: 0.0.0.0:443
2022/12/15 18:06:26 [crit] 23#23: *1353 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 43.133.205.219, server: 0.0.0.0:443
2022/12/16 04:23:44 [crit] 23#23: *1501 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 64.62.197.32, server: 0.0.0.0:443
2022/12/16 04:31:11 [crit] 23#23: *1514 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 64.62.197.40, server: 0.0.0.0:443
2022/12/16 04:58:25 [crit] 23#23: *1524 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/16 05:02:52 [crit] 23#23: *1537 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/16 06:18:47 [crit] 23#23: *1568 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/16 06:25:05 [crit] 23#23: *1585 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/16 06:27:40 [crit] 23#23: *1600 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 185.142.236.41, server: 0.0.0.0:443
2022/12/16 06:27:43 [crit] 23#23: *1603 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 185.142.236.41, server: 0.0.0.0:443
2022/12/16 08:56:02 [crit] 23#23: *1670 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/16 08:59:30 [crit] 23#23: *1683 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/16 14:32:12 [crit] 23#23: *1847 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.241.212.215, server: 0.0.0.0:443
